Doctor Who season,doctor actor,ep. no,episode title,from ,estimated from,to,estimated?,planet,sub location,location,notes,source,,,,,,,
10,Tennant,xmas 2006,the Runaway Bride,2007,,-5000000000,,Earth,England,London,,http://who-transcripts.atspace.com/,,,,,,,
1,Hartnell,1,An Unearthly Child,1963,,-100000,,,n/a,n/a,,http://tardis.wikia.com/wiki/An_Unearthly_Child,,,,,,,
1,Hartnell,21,The Daleks' Master Plan,-2500,4000,-2500,,Earth,,Egypt,,http://tardis.wikia.com/wiki/Season_Three,,,,,,,
3,Pertwee,64,The Time Monster,1972,2900,-2000,,Earth/ Atlantis,,, 'ancient' Atlantis. Krasis is brought forward in time from 2000 BC,http://tardis.wikia.com/wiki/Krasis,,,,,,,
1,Hartnell,20,The Myth Makers,-1200,3999,-1200,y,Earth,,Asia Minor/Troy,,http://tardis.wikia.com/wiki/Season_Three,,,,,,,
1,Hartnell,12,The Romans,64,2493,64,,Earth,Italy,Rome,,http://tardis.wikia.com/wiki/Season_Two,,,,,,,
10,Tennant,402,The Fires of Pompeii,2009,,79,,Earth,Roman Empire,Pompeii,,,,,,,,,
11,Smith,12,The Pandorica Opens,5145,,102,,Earth,England,to Stonehenge,,http://tardis.wikia.com/wiki/The_Pandorica_Opens_%28TV_story%29,,,,,,,
1,Hartnell,17,The Time Meddler,1965,,1066,,,UK,Northumbria,,http://tardis.wikia.com/wiki/Season_Two,,,,,,,
1,Hartnell,14,The Crusade,1200,1965,1200,,Earth,,Palestine,"""12th century""",http://tardis.wikia.com/wiki/Season_Two,,,,,,,
3,Pertwee,70,The Time Warrior,1973,,1200,n,Earth,UK,Wessex Castle,"""13th century""",http://tardis.wikia.com/wiki/The_Time_Warrior,,,,,,,
1,Hartnell,4,Marco Polo,"-13,000,000,000 ",,1289,,Earth,China,multiple,,http://tardis.wikia.com/wiki/An_Unearthly_Child,,,,,,,
1,Hartnell,6,The Aztecs,1454,1289,1454,,Earth,Mexico,,,http://tardis.wikia.com/wiki/An_Unearthly_Child,,,,,,,
1,Hartnell,22,The Massacre of St Bartholomew's Eve,1572,4000,1572,,Earth,France,Paris,,http://tardis.wikia.com/wiki/Season_Three,,,,,,,
11,Smith,6,The Vampires of Venice,2010,,1580,,Earth,,Leadworth to Venice,,http://tardis.wikia.com/wiki/The_Vampires_of_Venice,,,,,,,
10,Tennant,302,The Shakespeare Code,2008,,1599,,Earth,England,London,,http://who-transcripts.atspace.com/,,,,,,,
5,Davison,119,The Visitation,1666,2583,1666,,Earth,England,London,,,,,,,,,
1,Hartnell,28,The Smugglers,1671,1966,1671,n (see notes),Earth,UK,Cornwall,"Dr dialogue says 17th century, and Blake was a 'revenue man', i.e. an officer of the Board of Customs created in 1671. ","http://tardis.wikia.com/wiki/The_Smugglers
http://en.wikipedia.org/wiki/Chronology_of_the_Doctor_Who_universe",,,,,,,"
"
11,Smith,3,The Curse of the Black Spot,1699,1970,1699,,Earth,Earth and a parallel Earth,The Fancy (Ship),,,,,,,,,
10,Tennant,204,the Girl in the Fireplace,1727,,1744,,Earth,France,Paris,,tardis.wikia.com ,,,,,,,
2,Troughton,31,The Highlanders,1746,1986,1746,n,Earth,UK,Culloden,,http://tardis.wikia.com/wiki/The_Highlanders,,,,,,,
2,Troughton,61,The War Games,1969,,1746,n,Earth,Scotland,battle of Culloden,ONLY JAMIE sent home by time lords,http://tardis.wikia.com/wiki/Jamie,,,,,,,
10,Tennant,204,the Girl in the Fireplace,1744,,1753,,Earth,France,Versailles,,tardis.wikia.com ,,,,,,,
10,Tennant,204,the Girl in the Fireplace,1753,,1758,,Earth,France,Versailles,,tardis.wikia.com ,,,,,,,
