Snacks—impact on caloric intake of substituting fruits and vegetables for other snack foods,,,,,,,,,,,,,,,,,,,,,,,
,,Apples,Applesauce (sweetened),Bananas,Cantaloupe,Fruit cocktail (in light syrup),Grapes,Oranges,Peaches (in light syrup),Pineapple (juice pack),Plums,Raisins,Strawberries,Tangerine,Watermelon,Broccoli,Carrots,Celery,Red Peppers,Sweet potatoes,Tomatoes,Average change in calories of replacing each snack with all fruits and vegetables,
,Calories/ portion,77,100,102,33,71,59,53,68,75,38,109,27,72,74,12,22,10,23,90,16,,
Chocolate  candy (milk chocolate candies),262,185,162,160,229,191,203,209,194,187,224,153,235,190,188,250,240,252,239,172,246,205,
"Cookies (chocolate chip, soft)",123,46,23,21,90,52,64,70,55,48,85,14,96,51,49,111,101,113,100,33,107,66,
Corn chips,140,63,40,38,107,69,81,87,72,65,102,31,113,68,66,128,118,130,117,50,124,83,
Crackers (wheat),114,37,14,12,81,43,55,61,46,39,76,5,87,42,40,102,92,104,91,24,98,57,
"Cupcakes  (chocolate, with low-fat frosting)",174,97,74,72,141,103,115,121,106,99,136,65,147,102,100,162,152,164,151,84,158,117,
Danish (with fruit),271,194,171,169,238,200,212,218,203,196,233,162,244,199,197,259,249,261,248,181,255,214,
"Donuts (yeast-leavened, glazed)",235,158,135,133,202,164,176,182,167,160,197,126,208,163,161,223,213,225,212,145,219,178,
Fruit rolls,82,5,-18,-20,49,11,23,29,14,7,44,-27,55,10,8,70,60,72,59,-8,66,25,
Graham crackers ,102,25,2,0,69,31,43,49,34,27,64,-7,75,30,28,90,80,92,79,12,86,45,
"Granola  bars (oats, fruit, and nut)",119,42,19,17,86,48,60,66,51,44,81,10,92,47,45,107,97,109,96,29,103,62,
"Ice cream (vanilla, light) ",196,119,96,94,163,125,137,143,128,121,158,87,169,124,122,184,174,186,173,106,180,139,
Muffins (blueberry),369,292,269,267,336,298,310,316,301,294,331,260,342,297,295,357,347,359,346,279,353,312,
"Pizza, from frozen (cheese, regular crust)",252,175,152,150,219,181,193,199,184,177,214,143,225,180,178,240,230,242,229,162,236,195,
Popsicles and bars (fruit/juice bars),80,3,-20,-22,47,9,21,27,12,5,42,-29,53,8,6,68,58,70,57,-10,64,23,
"Potato chips (plain, salted)",169,92,69,67,136,98,110,116,101,94,131,60,142,97,95,157,147,159,146,79,153,112,
"Pretzels (hard, plain, salted)",168,91,68,66,135,97,109,115,100,93,130,59,141,96,94,156,146,158,145,78,152,111,
"Pudding, ready-to-eat (vanilla)",152,75,52,50,119,81,93,99,84,77,114,43,125,80,78,140,130,142,129,62,136,95,
Sandwich crackers (rye with cheese filling),183,106,83,81,150,112,124,130,115,108,145,74,156,111,109,171,161,173,160,93,167,126,
Toaster pastries (fruit frosted),299,222,199,197,266,228,240,246,231,224,261,190,272,227,225,287,277,289,276,209,283,242,
Tortilla chips (white),161,84,61,59,128,90,102,108,93,86,123,52,134,89,87,149,139,151,138,71,145,104,
Average change in calories of replacing all snack foods with a specific fruit or vegetable,,109,88,86,151,115,127,132,118,111,146,79,157,114,112,171,162,173,161,97,167,126,
Note: A negative sign means that caloric intake increases when the snack is replaced with a fruit or vegetable.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Calculated by ERS, USDA using data on calories from USDA National Nutrient Database for Standard Reference, Release 24.  ",,,,,,,,,,,,,,,,,,,,,,,
http://www.ars.usda.gov/Services/docs.htm?docid=22808,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
