"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Cause of death"	"Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Alabama"	"01"	82	4779736	1.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Arizona"	"04"	219	6392017	3.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Arkansas"	"05"	30	2915918	1.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"California"	"06"	852	37253956	2.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Colorado"	"08"	73	5029196	1.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Connecticut"	"09"	144	3574097	4.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Delaware"	"10"	38	897934	4.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Florida"	"12"	488	18801310	2.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Georgia"	"13"	135	9687653	1.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Idaho"	"16"	16	1567582	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Illinois"	"17"	357	12830632	2.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Indiana"	"18"	185	6483802	2.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Iowa"	"19"	60	3046355	2.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Kansas"	"20"	51	2853118	1.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Kentucky"	"21"	98	4339367	2.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Louisiana"	"22"	49	4533372	1.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Maine"	"23"	52	1328361	3.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Maryland"	"24"	164	5773552	2.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Massachusetts"	"25"	315	6547629	4.8
